STATION_ID,MMP_SITE_NAME,LONGITUDE,LATITUDE,LOGGER_SERIAL,SAMPLE_DAY,CHL_QA_AVG,NTU_QA_AVG
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2015-11-19,0.511,2.29
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2015-11-20,0.536,2.616
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2015-11-21,0.519,2.488
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2015-11-22,0.543,2.827
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2015-11-23,0.615,3.78
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2015-11-24,0.665,4.498
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2015-11-25,0.706,5.849
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2015-11-26,0.715,6.444
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2015-11-27,0.741,6.803
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2015-11-28,0.782,6.351
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2015-11-29,0.796,5.22
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2015-11-30,0.773,3.395
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2015-12-01,0.628,2.249
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2015-12-02,0.535,1.868
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2015-12-03,0.42,1.632
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2015-12-04,0.456,4.256
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2015-12-05,0.418,2.918
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2015-12-06,0.459,2.791
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2015-12-07,0.389,2.246
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2015-12-08,0.409,2.404
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2015-12-09,0.421,2.26
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2015-12-10,0.444,2.201
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2015-12-11,0.485,2.484
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2015-12-12,0.508,2.369
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2015-12-13,0.533,2.653
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2015-12-14,0.521,3.481
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2015-12-15,0.409,2.203
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2015-12-16,0.399,1.692
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2015-12-17,0.374,1.299
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2015-12-18,0.393,2.105
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2015-12-19,0.377,2.194
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2015-12-20,0.385,2.229
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2015-12-21,0.376,2.114
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2015-12-22,0.385,2.544
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2015-12-23,0.413,2.481
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2015-12-24,0.482,2.595
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2015-12-25,0.58,3.778
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2015-12-26,0.568,3.708
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2015-12-27,0.561,3.087
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2015-12-28,0.602,4.266
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2015-12-29,0.656,8.478
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2015-12-30,0.526,7.187
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2015-12-31,0.5,3.344
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2016-01-01,0.503,2.183
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2016-01-02,0.453,1.458
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2016-01-03,0.512,1.392
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2016-01-04,0.449,1.083
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,816,2016-01-05,0.438,1.795
